<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.19	13:00:00	1.22075	1.22078	1.21805	1.21860	8957	0	1
2022.12.19	14:00:00	1.21864	1.21938	1.21645	1.21784	7230	0	1
2022.12.19	15:00:00	1.21782	1.21789	1.21558	1.21657	7096	0	1
2022.12.19	16:00:00	1.21659	1.21886	1.21644	1.21739	8075	0	1
2022.12.19	17:00:00	1.21738	1.21866	1.21203	1.21304	9426	0	1
2022.12.19	18:00:00	1.21304	1.21931	1.21296	1.21789	6643	0	3
2022.12.19	19:00:00	1.21789	1.21897	1.21740	1.21808	4422	0	5
2022.12.19	20:00:00	1.21808	1.21815	1.21582	1.21589	3083	0	4
2022.12.19	21:00:00	1.21593	1.21594	1.21387	1.21422	3572	0	4
2022.12.19	22:00:00	1.21424	1.21508	1.21396	1.21436	2914	0	4
2022.12.19	23:00:00	1.21436	1.21478	1.21419	1.21458	884	0	6
2022.12.20	00:00:00	1.21480	1.21502	1.21396	1.21425	1025	0	17
2022.12.20	01:00:00	1.21455	1.21553	1.21425	1.21541	1669	0	9
2022.12.20	02:00:00	1.21541	1.21545	1.21381	1.21436	2754	0	8
2022.12.20	03:00:00	1.21436	1.21542	1.21413	1.21526	2871	0	8
2022.12.20	04:00:00	1.21526	1.21597	1.21479	1.21583	2031	0	8
2022.12.20	05:00:00	1.21586	1.22232	1.21331	1.21392	14661	0	6
2022.12.20	06:00:00	1.21392	1.21463	1.21247	1.21410	5954	0	6
2022.12.20	07:00:00	1.21410	1.21411	1.20852	1.21158	5135	0	1
2022.12.20	08:00:00	1.21160	1.21469	1.21141	1.21405	6657	0	1
2022.12.20	09:00:00	1.21401	1.21645	1.21373	1.21449	8908	0	1
2022.12.20	10:00:00	1.21453	1.21975	1.21416	1.21832	11109	0	1
2022.12.20	11:00:00	1.21834	1.21838	1.21339	1.21499	9869	0	1
2022.12.20	12:00:00	1.21496	1.21761	1.21344	1.21756	6851	0	4
2022.12.20	13:00:00	1.21757	1.21822	1.21547	1.21611	5635	0	1
2022.12.20	14:00:00	1.21611	1.21617	1.21304	1.21309	6116	0	5
2022.12.20	15:00:00	1.21309	1.21503	1.20980	1.21472	6731	0	1
2022.12.20	16:00:00	1.21472	1.21629	1.21223	1.21618	9779	0	3
2022.12.20	17:00:00	1.21618	1.21680	1.21311	1.21395	11511	0	1
2022.12.20	18:00:00	1.21391	1.21532	1.21238	1.21450	8339	0	1
2022.12.20	19:00:00	1.21450	1.21534	1.21312	1.21422	4868	0	3
2022.12.20	20:00:00	1.21424	1.21580	1.21332	1.21456	3293	0	5
2022.12.20	21:00:00	1.21458	1.21704	1.21382	1.21692	2807	0	5
2022.12.20	22:00:00	1.21690	1.21758	1.21589	1.21740	4151	0	3
2022.12.20	23:00:00	1.21738	1.21872	1.21704	1.21825	1461	0	6
2022.12.21	00:00:00	1.21794	1.21859	1.21601	1.21807	1715	0	17
2022.12.21	01:00:00	1.21807	1.21923	1.21807	1.21879	1605	0	9
2022.12.21	02:00:00	1.21883	1.21896	1.21806	1.21826	3257	0	8
2022.12.21	03:00:00	1.21826	1.21890	1.21629	1.21664	4621	0	8
2022.12.21	04:00:00	1.21665	1.21717	1.21607	1.21613	2699	0	8
2022.12.21	05:00:00	1.21612	1.21690	1.21606	1.21689	2085	0	8
2022.12.21	06:00:00	1.21689	1.21720	1.21622	1.21663	1863	0	8
2022.12.21	07:00:00	1.21661	1.21683	1.21643	1.21667	1751	0	5
2022.12.21	08:00:00	1.21667	1.21676	1.21549	1.21574	1749	0	1
2022.12.21	09:00:00	1.21576	1.21828	1.21502	1.21806	4619	0	1
2022.12.21	10:00:00	1.21806	1.21827	1.21432	1.21511	6094	0	3
2022.12.21	11:00:00	1.21511	1.21561	1.21276	1.21382	5557	0	5
2022.12.21	12:00:00	1.21380	1.21458	1.21209	1.21321	4717	0	4
2022.12.21	13:00:00	1.21320	1.21369	1.20929	1.20989	4975	0	1
2022.12.21	14:00:00	1.20990	1.21324	1.20857	1.21296	5456	0	1
2022.12.21	15:00:00	1.21297	1.21640	1.21259	1.21417	6415	0	1
2022.12.21	16:00:00	1.21414	1.21429	1.20913	1.20951	8112	0	2
2022.12.21	17:00:00	1.20953	1.21327	1.20882	1.21087	8727	0	1
2022.12.21	18:00:00	1.21089	1.21125	1.20699	1.20708	5618	0	3
2022.12.21	19:00:00	1.20709	1.20757	1.20551	1.20680	4779	0	1
2022.12.21	20:00:00	1.20677	1.20815	1.20596	1.20776	4467	0	4
2022.12.21	21:00:00	1.20778	1.20970	1.20770	1.20815	3281	0	4
2022.12.21	22:00:00	1.20815	1.20950	1.20758	1.20870	2915	0	4
2022.12.21	23:00:00	1.20863	1.20876	1.20786	1.20828	1266	0	6
2022.12.22	00:00:00	1.20786	1.20832	1.20700	1.20792	1527	0	17
2022.12.22	01:00:00	1.20791	1.20810	1.20731	1.20755	1319	0	9
2022.12.22	02:00:00	1.20755	1.21031	1.20750	1.21024	2551	0	5
2022.12.22	03:00:00	1.21024	1.21138	1.20941	1.21109	3065	0	6
2022.12.22	04:00:00	1.21106	1.21228	1.21081	1.21185	2650	0	8
2022.12.22	05:00:00	1.21185	1.21345	1.21185	1.21334	1621	0	8
2022.12.22	06:00:00	1.21334	1.21339	1.21158	1.21213	1793	0	6
2022.12.22	07:00:00	1.21213	1.21288	1.21174	1.21186	2566	0	5
2022.12.22	08:00:00	1.21186	1.21302	1.21168	1.21193	2676	0	5
2022.12.22	09:00:00	1.21186	1.21327	1.21010	1.21308	4083	0	1
2022.12.22	10:00:00	1.21300	1.21473	1.21059	1.21155	5397	0	1
2022.12.22	11:00:00	1.21156	1.21290	1.20873	1.20994	4788	0	1
2022.12.22	12:00:00	1.20994	1.21088	1.20738	1.20829	5195	0	1
2022.12.22	13:00:00	1.20831	1.20882	1.20413	1.20446	5446	0	1
2022.12.22	14:00:00	1.20446	1.20603	1.20377	1.20572	5001	0	1
2022.12.22	15:00:00	1.20576	1.20625	1.20220	1.20307	9822	0	1
2022.12.22	16:00:00	1.20307	1.20405	1.19924	1.20167	8883	0	1
2022.12.22	17:00:00	1.20168	1.20314	1.20060	1.20273	8264	0	1
2022.12.22	18:00:00	1.20272	1.20439	1.20215	1.20306	4729	0	2
